15000 105000
13 8683 82.2567
14 10 55.3221
14 322 92.5441
14 871 29.634
14 3896 1.09454
14 5850 62.014
14 9606 23.8153
14 11338 4.40828
14 7441 29.4357
14 5504 79.5856
14 9566 18.9931
14 1596 26.9201
14 9266 63.4756
15 4 58.9902
15 21 47.7944
15 119 32.483
15 191 5.36665
15 231 29.9774
16 7 84.4126
16 18 22.7418
16 24 45.14
16 129 95.0064
16 137 7.02997
16 278 93.3689
16 382 6.04311
16 1503 85.7605
16 5896 34.4044
16 13631 23.2687
16 9102 37.9108
17 11 42.7526
17 22 33.7972
17 30 11.5927
17 35 88.9902
17 54 45.7068
17 88 68.5328
17 244 4.59448
17 396 44.7337
17 563 64.1187
17 746 89.1967
17 1463 56.185
17 1560 77.02
17 1672 24.7985
17 2138 97.3497
17 3613 85.2252
17 4183 14.2145
17 12328 85.046
17 5475 3.40275
17 1682 71.0974
17 13670 84.3289
17 8391 83.1577
17 10256 44.2801
18 16 22.7418
18 33 77.0975
18 87 64.7828
18 460 31.2478
18 749 61.137
18 1207 25.4278
18 1431 28.347
18 1596 33.6243
18 14239 52.1793
18 9021 76.3439
18 11038 43.7762
18 2896 6.07124
19 9 59.4539
19 411 84.3921
19 431 85.2617
19 2376 62.1017
19 5968 23.6173
19 7448 7.57276
19 13548 24.8326
19 7694 9.72019
19 11544 53.3383
19 7062 23.6061
19 34 85.8186
19 11088 90.7815
20 1 51.0164
20 32 64.1208
20 44 48.3676
20 138 32.0951
20 215 44.5384
20 263 44.3498
20 628 60.0583
20 762 65.1047
20 926 13.9793
20 1165 96.1615
20 5957 48.4178
20 7533 93.7634
20 6369 65.7672
20 13958 14.025
20 8539 90.1667
20 2838 34.6129
20 6472 7.28284
20 11200 59.2764
21 15 47.7944
21 48 34.7616
21 84 15.6672
21 90 86.5508
21 246 74.098
21 248 33.5637
21 408 55.1613
21 719 24.4593
21 5856 19.2371
21 6100 17.8337
21 8744 73.1223
21 13887 51.1082
21 5533 63.7956
21 13945 8.65036
21 13957 39.91
21 5411 16.3011
21 7960 99.37
22 17 33.7972
22 27 95.8018
22 47 24.0555
22 661 33.9326
22 1738 13.6908
22 13600 65.9431
22 8905 67.9531
22 6812 27.1813
22 995 64.9412
22 6821 23.2129
22 1745 5.3804
22 12317 55.7743
23 4 92.0151
23 226 85.304
23 282 74.6683
23 284 53.3647
23 656 85.7147
23 662 97.9283
23 3384 98.374
23 4379 75.0233
23 4842 58.1464
23 10843 55.6783
23 8652 16.3571
23 2461 45.7537
23 11676 66.2417
23 3551 65.9158
23 9073 78.4823
24 16 45.14
24 34 93.1086
24 201 10.8302
24 233 93.2783
24 439 44.1487
24 1921 72.4868
24 5796 43.2793
24 7415 33.8067
24 7592 49.0641
24 14117 53.7746
24 11491 16.828
24 11325 21.2693
24 10802 77.8162
24 11021 49.5648
24 6607 21.2882
24 8676 75.7069
25 8 70.7243
25 43 67.3254
25 69 29.9673
25 80 40.7766
25 103 91.1459
25 293 1.06222
25 619 3.83955
25 4226 40.9808
25 12729 46.9033
25 8368 20.7012
25 10102 75.1817
26 3 65.4054
26 41 48.9218
26 79 77.5525
26 82 71.1895
26 255 9.17744
26 391 37.4441
26 810 36.7527
26 13033 71.3993
26 7878 64.9581
26 8035 87.0336
27 22 95.8018
27 380 72.6324
27 506 41.2408
27 805 29.2665
27 12452 3.6412
27 13710 12.0618
27 13955 72.684
27 13684 22.4768
27 11681 83.2201
27 2590 71.1755
27 5955 81.2867
27 5375 1.09014
27 5706 92.916
27 3444 8.90879
27 14892 79.0169
28 12 44.0212
28 39 96.7529
28 150 2.63213
28 174 97.0375
28 213 16.9607
28 466 78.8475
28 654 16.2549
28 1034 36.2719
28 1900 62.6589
28 11100 42.2704
28 13655 5.67935
28 1087 45.6018
28 10762 91.3825
28 8490 97.1489
28 6703 74.2745
29 1 13.8018
29 31 80.8669
29 40 95.3285
29 45 56.5464
29 93 21.3028
29 99 33.2967
29 135 2.2233
29 1489 41.7603
29 1557 24.0242
29 2441 86.0802
29 4537 98.6992
29 4633 77.3746
29 12362 93.2043
29 2446 16.3471
29 13288 32.4527
29 13115 68.9348
29 14648 91.9381
30 17 11.5927
30 83 14.6162
30 228 71.3872
30 229 81.1602
30 342 61.1699
30 353 73.148
30 438 4.58323
30 479 99.7564
30 742 20.1134
30 9170 22.1606
30 13429 73.7995
30 3454 81.0553
30 8966 58.08
30 3858 51.1327
30 9273 74.853
30 13594 35.2489
30 2379 63.7941
30 994 70.1007
31 29 80.8669
31 148 43.0146
31 203 46.2449
31 327 44.9807
31 1314 77.5184
31 1718 84.8282
31 2692 60.5726
31 4276 85.5078
31 13672 65.6456
31 13727 92.1302
31 10658 61.0029
31 1379 42.6851
31 4435 87.2437
31 1486 77.7864
31 2781 99.8764
31 10520 47.2813
31 8483 27.9265
32 20 64.1208
32 112 7.03582
32 2713 41.8497
32 4090 28.8824
32 4106 26.4423
32 1682 33.3754
32 14847 94.7434
33 18 77.0975
33 225 16.7286
33 296 44.4434
33 1326 88.2346
33 3267 87.7771
33 7280 99.1664
33 13499 9.26023
33 7142 88.8393
33 4667 2.77401
33 9683 31.9785
33 3790 93.3236
33 5628 61.6999
34 24 93.1086
34 62 67.5339
34 123 92.1384
34 206 49.3541
34 428 62.4481
34 1334 83.8001
34 2599 24.2147
34 7299 19.1647
34 6351 4.82896
34 4798 92.4825
34 1280 5.85575
34 12313 24.9799
34 19 85.8186
34 1226 83.9919
34 1263 46.6928
34 12909 16.7849
35 17 88.9902
35 50 29.7163
35 51 69.7423
35 65 79.3896
35 171 68.9229
35 1695 46.3844
35 2292 53.5034
35 2563 51.4955
35 14420 96.8195
35 14701 17.2212
35 13451 59.3874
35 689 20.5849
35 12022 41.8944
35 8822 75.8181
35 12187 81.1102
36 0 18.8156
36 38 91.1402
36 53 59.786
36 94 58.2047
36 152 73.5435
36 183 24.9065
36 501 91.6785
36 1796 57.5426
36 6453 57.6465
36 7831 47.1321
36 14345 87.0126
36 4864 58.1577
36 3841 12.0715
36 4485 77.5399
37 7 76.6936
37 456 12.7352
37 4371 37.272
37 13960 14.9783
37 12534 47.8978
37 12622 39.1765
37 11341 69.4992
37 4310 10.5943
37 6627 26.9414
38 36 91.1402
38 72 43.6298
38 483 13.1778
38 625 88.7183
38 13477 16.8324
38 14607 83.1306
38 2947 69.1784
38 12281 21.021
38 4630 95.1839
38 5047 73.9047
38 12796 83.0685
38 13145 77.8763
39 28 96.7529
39 106 17.7468
39 107 81.2182
39 595 38.9889
39 2352 91.8375
39 804 60.9906
39 8996 60.9726
39 926 8.52274
39 9379 11.9718
39 14811 39.877
39 12467 18.4245
40 29 95.3285
40 164 59.4189
40 252 8.84014
40 605 76.5669
40 849 29.6839
40 1333 49.0075
40 1357 60.2738
40 5619 20.5905
40 13502 79.5522
40 12340 71.3271
40 10379 11.6299
41 26 48.9218
41 68 76.324
41 128 16.0513
41 361 31.799
41 1086 51.9142
41 2798 4.89955
41 8987 46.3204
41 5123 12.4147
41 2498 42.935
41 12138 4.14963
41 6734 87.2222
41 7586 77.5785
41 9143 26.7512
42 11 99.2864
42 315 85.9977
42 5823 68.6812
42 10581 5.85832
42 8354 5.48599
42 13381 85.2341
42 8183 66.6734
42 69 55.6908
43 25 67.3254
43 97 17.708
43 116 46.1464
43 131 32.894
43 730 84.2588
43 1573 81.4084
43 6104 14.7707
43 10708 96.4044
43 5225 58.1612
43 8716 33.2209
43 11640 39.746
43 14837 67.156
43 8687 51.3914
43 11634 12.4139
43 1946 1.38239
44 20 48.3676
44 6005 11.6619
44 7516 88.1169
44 4487 18.9045
44 6503 56.8212
44 480 66.5149
44 874 91.4553
44 9411 80.518
44 8852 9.14894
44 6288 62.4578
44 8377 13.2128
45 29 56.5464
45 132 77.2171
45 420 46.5301
45 2172 67.6434
45 2356 25.3017
45 4580 61.4925
45 9847 43.15
45 13071 15.6202
45 3747 22.5737
45 8727 92.4123
45 1659 75.2279
45 6611 4.04304
45 2839 88.4536
46 6 31.7029
46 70 54.9663
46 74 12.4527
46 289 33.4358
46 442 53.8819
46 5606 36.985
46 8518 93.7149
46 8804 90.7648
46 4655 50.4693
46 8488 13.6076
47 22 24.0555
47 78 18.5607
47 110 56.507
47 161 41.0717
47 429 90.4401
47 480 23.8179
47 665 85.6044
47 694 67.6251
47 1917 34.0758
47 4927 1.1599
47 6496 81.007
47 11825 83.1625
47 13378 65.6847
47 4764 28.8936
47 9037 30.5358
48 21 34.7616
48 73 64.1714
48 89 96.6964
48 162 41.7793
48 182 32.2205
48 13050 93.3658
48 7497 52.7607
48 1757 93.0461
48 14108 20.1628
48 11100 29.3099
48 1404 46.6094
48 11980 9.49481
48 10795 4.35115
48 76 61.9242
48 1165 80.3387
48 10656 56.6151
49 4 55.9469
49 52 53.4271
49 134 52.9616
49 167 35.7787
49 2330 44.7684
49 4381 54.6572
49 3761 60.2879
49 11869 22.6542
49 12923 38.8713
49 14791 38.3782
49 8876 39.5886
49 7522 36.7329
50 35 29.7163
50 141 11.2335
50 663 23.6605
50 1674 2.73616
50 7692 58.8217
50 9597 74.3435
50 9534 71.0968
50 1324 93.746
50 1070 86.2072
50 8519 21.4251
50 4135 49.9381
50 2986 42.5247
51 35 69.7423
51 98 86.5708
51 330 96.7087
51 593 97.595
51 1015 72.9302
51 3359 39.1283
51 11013 2.57048
51 4262 43.2361
51 3598 9.5153
51 4589 2.13753
52 49 53.4271
52 55 78.8561
52 58 95.2448
52 71 51.9815
52 169 62.6438
52 188 22.4617
52 432 28.7276
52 609 36.6442
52 1851 92.9342
52 2824 56.2453
52 10779 69.2587
52 13761 96.006
52 13995 32.1625
52 4687 50.3742
52 13628 51.8064
52 3369 97.7348
52 9768 77.4545
52 9062 97.6759
53 36 59.786
53 1993 64.8195
53 2747 26.8852
53 11088 73.5198
53 13257 66.239
53 13142 39.1846
53 7426 47.7939
53 4141 50.755
53 12360 19.1678
53 2428 76.091
53 6484 38.4721
54 17 45.7068
54 703 18.3453
54 1120 42.3404
54 1336 99.9759
54 1746 9.11813
54 7238 49.7957
54 10785 20.8151
54 11626 8.55192
54 8109 26.9836
54 5588 86.8296
54 13523 69.0858
54 5504 76.1259
55 52 78.8561
55 115 9.45069
55 555 83.8859
55 6255 58.2827
55 13947 39.411
55 3041 96.0381
55 11926 36.2094
55 12241 6.42643
55 4248 91.5397
55 11647 86.351
55 677 15.5533
55 7872 58.2521
56 11 18.9851
56 133 25.8197
56 222 5.79083
56 1899 66.6421
56 3337 68.3961
56 3831 21.898
56 14623 63.0337
56 2290 37.5175
56 2885 34.9269
56 7331 19.7979
57 3 29.3963
57 111 91.2887
57 309 79.7574
57 333 72.7436
57 1002 48.7948
57 1622 43.225
57 3917 63.2554
57 12529 16.7781
58 52 95.2448
58 77 76.5719
58 407 55.7384
58 640 86.8177
58 928 72.0326
58 2718 64.7302
58 13522 29.2713
58 8373 2.65729
58 7823 52.6083
58 9237 91.7233
58 11077 70.4356
58 2112 55.1377
58 5314 35.1352
58 4059 24.756
59 9 21.5256
59 218 50.4684
59 374 6.96189
59 523 21.6241
59 14212 14.2354
59 6780 13.7158
59 4343 23.0289
59 6641 60.3983
59 1414 94.3085
59 8319 85.9848
60 0 79.9747
60 121 62.4078
60 437 20.7622
60 548 81.3614
60 734 48.7094
60 935 51.7534
60 2758 67.7518
60 2887 55.9067
60 14916 2.56087
60 13408 14.6586
60 11733 77.3041
60 12059 24.0616
60 2479 13.1239
60 14616 68.8018
60 1985 81.216
60 13065 34.4046
61 3 48.1123
61 96 81.1301
61 125 25.3023
61 421 55.8315
61 721 78.8817
61 2663 96.424
61 2369 74.7584
61 6546 82.0584
61 9411 84.163
61 8707 47.6471
61 8587 74.4832
62 34 67.5339
62 149 4.67232
62 194 17.5867
62 524 26.505
62 1042 11.4846
62 2704 96.7312
62 4383 83.9708
62 11242 42.0984
62 13018 64.3088
62 14575 2.46384
62 3964 56.168
62 8194 88.9499
62 2139 45.6745
62 13783 99.4817
62 9801 97.868
62 13323 57.393
62 10699 90.3687
62 9808 69.0413
62 8801 90.8022
63 5 14.6038
63 185 62.2578
63 211 46.8046
63 516 60.3831
63 1306 18.8492
63 11093 56.3434
63 8964 92.0192
63 10737 37.3825
63 13636 34.5641
63 12198 73.9848
63 6457 78.2505
63 5820 32.7056
63 12594 15.1767
64 6 51.4291
64 104 61.8564
64 156 30.9116
64 591 46.8099
64 964 12.5234
64 1009 95.7319
64 14814 56.2138
64 377 43.6584
64 9535 57.1269
65 35 79.3896
65 66 77.9541
65 419 61.4302
65 558 23.5422
65 841 47.8062
65 9406 2.42677
65 12227 51.6907
65 8976 32.5165
65 4517 21.1712
65 14227 81.5925
65 10214 3.48206
65 12101 37.6076
65 5027 76.9147
66 65 77.9541
66 76 36.7768
66 311 28.3641
66 6907 83.9115
66 10267 16.1245
66 14707 52.4965
66 4079 70.6674
66 7389 13.8599
66 10197 3.83509
66 8085 93.2788
67 6 32.4696
67 113 80.8569
67 493 55.7671
67 2600 50.6034
67 2605 61.9754
67 4018 12.4225
67 4374 33.5786
67 9194 23.6334
67 10441 61.103
67 4426 38.0086
67 12918 71.5735
67 4451 39.743
67 8957 2.47451
68 41 76.324
68 86 85.4243
68 392 53.4953
68 1626 36.8796
68 2123 99.7898
68 3541 7.93167
68 12345 3.47076
68 9779 37.0968
68 13049 50.2219
69 25 29.9673
69 75 26.4609
69 234 43.8302
69 338 22.6741
69 945 85.2467
69 1170 69.8664
69 4159 82.1726
69 8637 42.4097
69 12480 72.484
69 42 55.6908
69 2215 90.3992
70 46 54.9663
70 241 76.4771
70 303 16.6266
70 381 38.4139
70 3852 27.4321
70 4710 34.3245
70 10066 27.9571
70 12510 77.4228
70 14189 10.131
70 7878 29.3835
70 10290 64.2672
70 13400 6.47424
70 8463 12.6231
70 14331 33.5288
70 5213 18.3801
71 52 51.9815
71 771 87.0015
71 1511 24.119
71 2682 17.6292
71 5753 57.7359
71 11038 92.1926
71 3772 80.5112
71 4438 4.3421
71 4045 92.168
71 7439 14.0461
71 5983 73.1061
71 6279 69.0423
71 2892 19.1164
71 10008 1.44418
72 38 43.6298
72 158 72.6806
72 204 14.7704
72 474 65.0262
72 7466 46.4926
72 3818 81.8786
72 5080 85.9076
72 7892 94.291
72 478 75.7207
72 2591 62.8607
73 48 64.1714
73 139 83.7691
73 508 1.97795
73 525 73.6437
73 586 94.4231
73 823 5.64568
73 4556 61.454
73 11821 81.5716
73 4857 51.8913
73 7152 75.5746
73 14893 51.9408
73 8967 43.7831
73 2809 45.0378
73 7187 89.5684
73 7209 26.0644
74 46 12.4527
74 118 24.4292
74 4501 4.53844
74 7325 46.3278
74 10392 98.0019
74 12558 2.39634
74 14467 16.8809
74 6228 16.8966
74 2901 19.5751
75 69 26.4609
75 122 89.6975
75 257 97.3578
75 1202 2.85606
75 2969 38.6997
75 7310 66.6156
75 12903 35.5262
75 3511 50.8231
75 5698 35.3534
75 286 99.219
75 4392 43.6942
75 11767 95.5551
75 5530 11.9234
76 66 36.7768
76 130 35.2177
76 221 98.3652
76 2083 13.5927
76 8110 60.7074
76 11360 47.361
76 13718 19.3211
76 10198 11.7289
76 1997 85.9783
76 13799 22.1923
76 48 61.9242
76 8069 86.433
77 58 76.5719
77 114 75.9674
77 1720 9.09732
77 2743 93.0801
77 5197 46.5666
77 5912 6.1706
77 7647 3.20794
77 12765 37.5628
78 47 18.5607
78 532 48.9006
78 970 61.991
78 1578 98.3166
78 2642 17.821
78 11561 95.0568
78 1058 51.8402
78 566 98.0722
78 6154 56.3444
78 14943 75.2715
78 9894 17.9309
79 26 77.5525
79 298 14.4892
79 369 37.1531
79 471 8.43981
79 632 94.5285
79 5162 71.5149
79 5293 21.912
79 5927 57.2652
79 9435 19.9573
79 8461 21.0288
79 7024 86.1154
79 4806 7.85765
79 6514 66.9236
80 25 40.7766
80 319 94.6421
80 931 81.1307
80 1019 25.2023
80 1615 29.7751
80 1705 57.4992
80 2644 5.36503
80 7849 79.7051
80 9623 93.1333
80 10816 69.9162
80 13982 67.4148
80 6994 93.6202
80 3433 77.8083
81 1 12.1454
81 85 7.10766
81 307 60.1664
81 2147 83.4098
81 3435 7.87328
81 6323 57.0914
81 3788 72.1834
81 10670 47.4705
82 26 71.1895
82 166 4.50691
82 269 10.8807
82 351 99.9962
82 1141 5.43511
82 5599 77.6845
82 10438 68.9685
82 6725 38.304
82 10937 48.925
83 30 14.6162
83 163 94.3831
83 178 71.5809
83 279 53.6339
83 1521 23.3798
83 11202 63.4991
83 3227 76.1376
83 14279 1.35468
84 21 15.6672
84 168 54.3009
84 468 91.8447
84 583 64.534
84 3827 81.4414
84 4742 62.4452
84 4933 64.8065
84 12459 34.8628
84 9143 20.6951
84 14022 11.6617
84 11453 77.4804
84 8775 86.635
84 10201 2.76807
84 7394 80.9054
85 81 7.10766
85 127 4.83237
85 404 83.6094
85 723 96.0371
85 12192 52.4623
85 2226 87.7573
85 7608 18.6042
85 2099 74.7483
86 68 85.4243
86 187 20.3574
86 2634 68.7399
86 4010 27.4697
86 6414 9.15743
86 14850 62.8536
86 6795 80.0175
86 5303 29.4257
86 3431 39.275
86 6538 44.2197
86 7464 4.36626
87 18 64.7828
87 195 20.6905
87 260 73.7766
87 1048 16.1851
87 1076 88.6504
87 1962 94.0677
87 2509 58.2814
87 7900 33.9845
87 13580 65.4048
87 13610 70.2672
87 3934 97.401
88 17 68.5328
88 100 92.8859
88 146 94.5834
88 323 35.4873
88 3797 61.7247
88 13908 84.5547
88 14180 64.9082
88 10219 18.9965
89 48 96.6964
89 120 2.3716
89 398 82.3332
89 6054 78.1208
89 12381 30.5509
89 9514 84.1748
89 8521 49.9128
89 6709 11.7075
89 13601 97.8655
89 4882 87.2823
89 8606 75.15
89 14040 85.3332
90 21 86.5508
90 117 39.2989
90 325 84.4484
90 367 32.6965
90 2702 85.685
90 5847 4.60726
90 12314 37.6237
91 10 28.3786
91 297 86.7031
91 360 39.2731
91 564 41.1914
91 1208 56.8078
91 9240 93.8326
91 7794 49.7596
91 9202 9.4285
91 4639 58.3477
91 13186 34.0075
91 14993 49.9017
91 8597 50.351
91 13597 67.1129
92 12 74.3754
92 108 43.3855
92 358 44.8592
92 1436 44.7195
92 2968 70.8899
92 8341 78.9296
92 9069 49.932
92 9377 90.0382
92 4587 46.4589
92 2378 70.4562
92 12464 78.0556
92 3878 91.9842
92 6852 15.0031
93 29 21.3028
93 101 5.63896
93 689 52.3651
93 830 21.6922
93 1123 80.3319
93 1455 15.5369
93 10791 8.90909
93 9859 49.1167
93 1072 42.5768
93 3818 31.2272
94 36 58.2047
94 236 59.429
94 5286 61.7247
94 6289 75.0213
94 13051 30.3938
94 14877 47.5309
94 5539 70.3118
94 5378 22.4839
94 8142 4.61991
94 9332 18.8178
94 5557 97.9224
94 11311 37.4561
95 9 53.1193
95 1210 20.5983
95 4603 95.4879
95 9156 48.4224
95 14179 7.99127
95 9038 60.3299
95 12915 80.3503
95 2173 30.0196
95 11152 7.53798
95 6017 51.6747
95 11489 33.9034
95 10467 92.2409
96 61 81.1301
96 8381 25.9332
96 3512 83.5285
96 12033 53.1435
97 43 17.708
97 543 61.3823
97 1069 11.546
97 7100 71.236
97 5917 1.53015
97 7749 34.464
97 6185 35.6226
97 14306 50.7818
98 51 86.5708
98 645 30.0851
98 790 33.6655
98 1074 87.3678
98 3140 92.6397
98 4971 27.3549
98 12576 70.122
98 1149 38.9914
98 8416 65.4739
98 4066 70.0983
99 29 33.2967
99 671 48.485
99 791 71.1329
99 873 98.7277
99 2377 35.5252
99 2445 31.5306
99 4287 42.2815
99 4397 73.7363
99 603 24.9205
99 3747 28.3602
99 6628 19.7378
99 5936 27.5608
99 9571 54.3084
99 544 61.7027
99 7678 25.4295
100 88 92.8859
100 143 91.9331
100 867 19.9129
100 1600 76.2764
100 3123 16.3226
100 14683 97.5288
100 13597 39.271
100 8296 15.9661
100 8803 1.33787
101 93 5.63896
101 192 33.698
101 262 77.2548
101 481 94.6785
101 795 30.7414
101 1613 42.9414
101 4650 25.3967
101 2499 39.2886
101 12559 42.8639
101 4716 21.8773
101 2877 92.0951
101 11131 66.7282
101 12486 14.264
101 2817 58.2322
102 1 35.0296
102 302 59.5196
102 1147 72.3549
102 2585 89.5975
102 4469 44.635
102 6815 6.44607
102 7022 71.7055
102 13787 13.852
102 7146 56.5675
102 9157 49.4956
102 11072 19.777
102 11112 39.2441
102 11409 21.8668
103 25 91.1459
103 1908 69.3471
103 3234 62.5486
103 4891 30.0648
103 5385 54.8421
103 5421 9.26073
103 9705 17.9073
103 915 90.5381
103 6651 27.706
103 8244 87.7855
104 64 61.8564
104 124 11.2467
104 142 56.3581
104 1203 1.40095
104 8080 53.6818
104 12081 17.957
104 14070 29.9775
104 3379 96.1719
105 4 29.8173
105 176 19.6439
105 272 5.81568
105 441 95.1087
105 978 21.7123
105 7507 6.41731
105 10400 82.3282
105 11213 82.2759
105 14953 32.6622
105 13942 82.661
106 39 17.7468
106 181 27.9459
106 193 87.9708
106 589 19.1732
106 7837 54.6824
106 8076 57.4952
106 5243 6.62671
106 14886 69.5037
106 2305 81.6915
107 39 81.2182
107 199 70.7263
107 1174 42.1584
107 2980 63.0767
107 10453 35.9247
107 7749 29.0738
107 14000 53.8461
107 13909 42.5438
108 92 43.3855
108 190 7.84936
108 294 86.1135
108 643 9.15642
108 4127 76.9514
108 9396 14.9205
108 10248 29.8873
108 11110 69.8842
108 13647 4.26642
108 3813 42.2969
108 6534 34.0539
108 548 69.3918
108 3492 13.1739
108 14079 37.3298
109 9 52.4246
109 196 67.1807
109 301 48.5226
109 425 18.8546
109 615 66.7449
109 1647 20.3855
109 1840 97.352
109 2905 29.1479
109 4515 6.31564
109 4581 28.1808
109 12838 95.121
109 1366 9.46239
109 5236 9.60852
109 9834 2.39212
109 4685 28.6455
110 47 56.507
110 208 1.24087
110 235 80.9883
110 1813 77.2869
110 2080 31.6781
110 4004 71.265
110 11169 76.1905
110 11456 18.5098
110 12231 33.5909
110 12039 99.2516
110 8328 15.1545
110 4704 34.4424
110 10404 54.4637
110 8544 99.6818
110 14487 62.3024
110 6859 86.1918
110 7652 44.2264
111 57 91.2887
111 153 8.91759
111 316 43.7199
111 446 10.1728
111 717 92.9692
111 868 2.89343
111 955 51.582
111 2284 37.6218
111 5305 71.5049
111 10580 14.0246
111 3397 84.6259
111 6891 94.0953
111 7704 28.3909
111 13474 44.5124
111 3943 53.5005
111 11022 48.8767
112 32 7.03582
112 572 49.601
112 1206 43.0145
112 1994 74.5263
112 10144 96.4317
112 3750 49.3424
112 7857 20.6076
112 11522 67.9715
112 6537 60.7974
113 67 80.8569
113 461 44.9559
113 1070 56.1133
113 1730 3.63672
113 2302 68.3818
113 3840 21.9556
113 3484 11.5396
113 6326 51.0571
113 13017 97.1619
113 6523 33.3224
113 6360 83.0986
113 13111 77.0393
114 77 75.9674
114 426 24.9514
114 1515 78.335
114 2398 40.0024
114 14717 35.9405
114 8096 43.3541
114 6535 98.4226
115 55 9.45069
115 371 45.4299
115 5126 18.2573
115 13848 86.3382
115 4886 19.1335
115 1967 4.71979
116 43 46.1464
116 151 9.20665
116 449 1.30329
116 754 54.7423
116 956 55.6036
116 2763 44.1016
116 11822 6.79363
116 5740 50.8725
116 4301 26.7496
116 14600 89.8406
116 10516 72.3804
116 6911 92.9914
117 90 39.2989
117 2971 92.0496
117 9937 51.4369
117 12857 55.5697
117 9289 60.4447
